,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,popondetta,100,PG,1569104867,92,-8.77,148.24,292.646,0.66
1,butaritari,0,KI,1569104868,60,3.07,172.79,302.646,4.24
2,vila franca do campo,20,PT,1569104869,77,37.72,-25.43,294.82,2.1
3,punta arenas,20,CL,1569104871,70,-53.16,-70.91,279.15,18.0
4,avarua,100,CK,1569104872,94,-21.21,-159.78,295.15,1.5
5,tuktoyaktuk,90,CA,1569104873,81,69.44,-133.03,280.15,7.2
6,cape town,75,ZA,1569104990,82,-33.93,18.42,288.15,1.5
7,las cruces,0,CL,1569104809,67,-33.5,-71.62,292.15,4.1
8,kodiak,90,US,1569104877,78,39.95,-94.76,299.26,8.2
9,geraldton,90,CA,1569104878,93,49.72,-86.95,292.15,4.6
10,rocha,0,UY,1569104666,70,-34.48,-54.34,287.846,4.67
11,lavrentiya,63,RU,1569104881,68,65.58,-170.99,272.546,1.21
12,junagarh,0,IN,1569104882,87,19.86,82.94,296.746,0.68
13,nizip,0,TR,1569104883,36,37.01,37.79,291.15,4.1
14,am timan,93,TD,1569104884,74,11.04,20.28,298.246,1.81
15,arraial do cabo,90,BR,1569104794,94,-22.97,-42.02,296.15,4.6
16,esperance,75,AU,1569104887,100,-33.86,121.89,281.15,2.1
17,barrow,59,AR,1569104888,52,-38.31,-60.23,284.146,5.91
18,albany,20,US,1569104627,39,42.65,-73.75,300.37,2.1
19,mataura,7,NZ,1569104891,86,-46.19,168.86,279.446,2.4
20,rikitea,44,PF,1569104892,88,-23.12,-134.97,296.646,3.47
21,bluff,0,AU,1569104895,82,-23.58,149.07,290.046,3.43
22,jamestown,32,AU,1569105115,81,-33.21,138.6,282.9,5.4
23,broome,0,GB,1569104897,82,52.47,1.45,291.48,3.6
24,faanui,94,PF,1569104899,84,-16.48,-151.75,299.946,6.31
25,ushuaia,90,AR,1569104901,96,-54.81,-68.31,274.15,1.5
26,narsaq,100,GL,1569104902,93,60.91,-46.05,277.15,0.59
27,grindavik,75,IS,1569104903,81,63.84,-22.43,286.15,6.7
28,torbay,90,CA,1569104905,81,47.66,-52.73,281.48,5.7
29,kirchhain,0,DE,1569104906,76,50.82,8.92,283.15,1.0
30,alofi,97,NU,1569104730,83,-19.06,-169.92,295.15,6.7
31,iqaluit,75,CA,1569104910,74,63.75,-68.52,277.15,10.3
32,bahia blanca,0,AR,1569104816,30,-38.72,-62.27,288.146,5.49
33,inirida,76,CO,1569104912,76,3.87,-67.92,302.546,1.74
34,walvis bay,93,NA,1569104913,82,-22.95,14.51,287.59,1.5
35,qaanaaq,25,GL,1569104915,45,77.48,-69.36,268.046,2.67
36,kahului,40,US,1569104917,58,20.89,-156.47,304.15,7.7
37,pisco,0,PE,1569104918,30,-13.71,-76.2,295.15,2.6
38,padilla,75,CO,1569104921,54,3.23,-76.31,301.15,4.6
39,fortuna,20,US,1569104922,72,40.6,-124.16,300.37,6.7
40,san patricio,0,PY,1569104923,51,-26.98,-56.83,292.346,2.84
41,yellowknife,75,CA,1569104910,71,62.45,-114.38,287.04,8.7
42,shimoda,67,JP,1569104926,78,34.7,138.93,295.93,0.89
43,westport,1,US,1569104783,60,41.14,-73.36,299.26,3.1
44,dunmore town,100,BS,1569104928,81,25.5,-76.65,300.446,12.88
45,grand gaube,75,MU,1569104930,77,-20.01,57.66,294.15,7.7
46,alyangula,21,AU,1569104931,94,-13.85,136.42,295.15,3.83
47,dom pedrito,0,BR,1569104932,60,-30.98,-54.67,288.546,2.08
48,codrington,0,AU,1569104934,77,-28.95,153.24,294.82,2.1
49,lorengau,33,PG,1569104935,82,-2.02,147.27,300.046,3.4
50,nome,40,US,1569104936,55,30.04,-94.42,305.37,3.6
51,port alfred,100,ZA,1569104938,84,-33.59,26.89,289.82,1.34
52,buta,93,CD,1569104939,87,2.79,24.73,295.446,0.36
53,mahebourg,75,MU,1569104940,77,-20.41,57.7,294.15,7.7
54,viking,68,CA,1569104942,59,53.1,-111.78,289.046,5.18
55,aldama,44,MX,1569104943,69,22.92,-98.09,307.59,2.24
56,banjar,100,ID,1569104944,97,-7.37,108.54,293.346,0.47
57,provideniya,49,RU,1569104697,63,64.42,-173.23,273.746,1.77
58,chumikan,0,RU,1569104947,95,54.72,135.31,273.446,2.06
59,hermanus,8,ZA,1569104948,88,-34.42,19.24,285.93,4.85
60,cabo san lucas,75,MX,1569104866,70,22.89,-109.91,304.26,8.7
61,cherskiy,100,RU,1569104950,86,68.75,161.3,272.446,4.48
62,bredasdorp,23,ZA,1569104952,81,-34.53,20.04,284.15,3.6
63,esmeraldas,0,BR,1569104953,45,-19.76,-44.31,303.15,4.6
64,maturin,85,VE,1569104954,84,9.75,-63.18,300.446,1.03
65,port said,0,EG,1569104957,30,25.34,30.55,299.746,4.68
66,bartica,75,GY,1569104958,88,6.41,-58.62,301.15,1.0
67,sorland,12,NO,1569104959,63,67.67,12.69,280.646,5.64
68,hay river,75,CA,1569104960,49,60.82,-115.79,293.15,3.6
69,busselton,0,AU,1569104962,70,-33.64,115.35,276.48,5.57
70,luanda,40,AO,1569105424,88,-8.83,13.24,296.15,3.1
71,adrar,0,DZ,1569104964,13,27.87,-0.29,306.15,3.09
72,bambous virieux,75,MU,1569104967,77,-20.34,57.76,294.15,7.7
73,zhucheng,0,CN,1569104968,77,30.85,114.8,290.15,2.0
74,maxixe,0,MZ,1569104969,95,-23.86,35.35,290.646,2.41
75,zhaoyuan,0,CN,1569104971,61,45.52,125.08,282.246,2.44
76,sao paulo de olivenca,6,BR,1569104972,51,-3.38,-68.87,305.346,1.24
77,knysna,100,ZA,1569104973,76,-34.04,23.05,287.15,6.2
